order_id,order_date,region,customer_segment,category,product,quantity,unit_price,revenue,profit
ORD-1122,2024-06-27,Asia Pacific,Startup,Enterprise Software,CRM Enterprise,6,271.68,1630.08,540.37
ORD-1123,2024-06-29,Latin America,Startup,Developer Tools,ContainerStack,3,291.77,875.31,336.16
ORD-1124,2024-06-30,North America,Startup,AI Solutions,AutoVision Suite,8,131.03,1048.24,501.69
ORD-1125,2024-07-02,Europe,Startup,Developer Tools,ContainerStack,11,350.4,3854.4,1036.56
ORD-1126,2024-07-03,Europe,Enterprise,AI Solutions,NeuralBot API,5,205.29,1026.45,348.02
ORD-1127,2024-07-05,Europe,Enterprise,Cloud Storage,CloudDrive Business,5,257.35,1286.75,363.55
ORD-1128,2024-07-06,Asia Pacific,Enterprise,Cloud Storage,S3 Glacier Sync,13,194.71,2531.23,599.69
ORD-1129,2024-07-08,North America,Enterprise,Cloud Storage,Cold Vault,8,443.11,3544.88,2014.73
ORD-1130,2024-07-09,Asia Pacific,Startup,Cloud Storage,CloudDrive Business,8,386.72,3093.76,847.1
ORD-1131,2024-07-11,Latin America,Mid-Market,AI Solutions,AutoVision Suite,14,328.21,4594.94,1597.04
ORD-1132,2024-07-12,Asia Pacific,Startup,Enterprise Software,CRM Enterprise,14,116.48,1630.72,412.97
ORD-1133,2024-07-13,Europe,Mid-Market,AI Solutions,AutoVision Suite,11,289.45,3183.95,773.28
ORD-1134,2024-07-15,Asia Pacific,Enterprise,AI Solutions,Copilot Studio,9,381.83,3436.47,937.86
ORD-1135,2024-07-16,North America,Enterprise,Enterprise Software,HR Core,6,197.37,1184.22,293.57
ORD-1136,2024-07-18,Europe,Startup,Developer Tools,CodePiper CI,4,209.8,839.2,385.64
ORD-1137,2024-07-19,North America,Government,Developer Tools,ContainerStack,6,314.08,1884.48,938.8
ORD-1138,2024-07-21,Latin America,Mid-Market,AI Solutions,AutoVision Suite,9,201.85,1816.65,1017.07
ORD-1139,2024-07-22,North America,Mid-Market,AI Solutions,Copilot Studio,13,198.66,2582.58,1481.05
ORD-1140,2024-07-24,Asia Pacific,Mid-Market,Enterprise Software,CRM Enterprise,6,160.68,964.08,254.78
ORD-1141,2024-07-25,Asia Pacific,Startup,Cloud Storage,S3 Glacier Sync,8,453.54,3628.32,842.11
ORD-1142,2024-07-27,Latin America,Government,Developer Tools,CodePiper CI,4,498.76,1995.04,1114.52
ORD-1143,2024-07-28,Europe,Startup,AI Solutions,Copilot Studio,6,488.78,2932.68,1162.22
ORD-1144,2024-07-30,Asia Pacific,Enterprise,Cloud Storage,CloudDrive Business,2,300.54,601.08,257.65
ORD-1145,2024-07-31,Latin America,Enterprise,Developer Tools,CodePiper CI,6,485.6,2913.6,1411.29
ORD-1146,2024-08-02,Latin America,Mid-Market,Developer Tools,CodePiper CI,12,101.68,1220.16,542.05
ORD-1147,2024-08-03,Asia Pacific,Enterprise,Enterprise Software,CRM Enterprise,11,469.41,5163.51,1694.96
ORD-1148,2024-08-04,Latin America,Mid-Market,Cloud Storage,S3 Glacier Sync,8,110.49,883.92,199.19
ORD-1149,2024-08-06,North America,Enterprise,Enterprise Software,CRM Enterprise,4,164.59,658.36,311.14
ORD-1150,2024-08-07,Asia Pacific,Enterprise,AI Solutions,Copilot Studio,8,322.75,2582.0,1336.74
ORD-1151,2024-08-09,Latin America,Startup,Enterprise Software,CRM Enterprise,12,484.26,5811.12,1451.15
ORD-1152,2024-08-10,Latin America,Mid-Market,Enterprise Software,CRM Enterprise,12,220.65,2647.8,1510.78
ORD-1153,2024-08-12,Latin America,Mid-Market,Developer Tools,CodePiper CI,8,422.57,3380.56,1690.96
ORD-1154,2024-08-13,Europe,Mid-Market,AI Solutions,NeuralBot API,5,416.56,2082.8,970.75
ORD-1155,2024-08-15,Latin America,Startup,Developer Tools,CodePiper CI,13,314.74,4091.62,1936.13
ORD-1156,2024-08-16,Asia Pacific,Startup,Developer Tools,DebugPro X,3,330.85,992.55,412.81
ORD-1157,2024-08-18,Europe,Enterprise,Enterprise Software,ERP Suite Pro,1,454.81,454.81,160.8
ORD-1158,2024-08-19,Asia Pacific,Startup,Developer Tools,ContainerStack,7,102.6,718.2,413.63
ORD-1159,2024-08-21,Latin America,Mid-Market,Developer Tools,DebugPro X,4,407.31,1629.24,729.95
ORD-1160,2024-08-22,North America,Enterprise,AI Solutions,Copilot Studio,4,498.96,1995.84,999.84
ORD-1161,2024-08-24,Europe,Enterprise,AI Solutions,Copilot Studio,1,65.09,65.09,27.86
ORD-1162,2024-08-25,Asia Pacific,Government,AI Solutions,AutoVision Suite,1,96.31,96.31,39.93
ORD-1163,2024-08-26,Latin America,Government,Enterprise Software,HR Core,13,292.94,3808.22,1502.51
ORD-1164,2024-08-28,Latin America,Mid-Market,Enterprise Software,CRM Enterprise,11,338.52,3723.72,1778.37
ORD-1165,2024-08-29,Latin America,Mid-Market,AI Solutions,Copilot Studio,5,422.06,2110.3,1231.63
ORD-1166,2024-08-31,North America,Government,Cloud Storage,Cold Vault,10,476.28,4762.8,1244.71
ORD-1167,2024-09-01,Asia Pacific,Government,Cloud Storage,S3 Glacier Sync,9,165.21,1486.89,729.23
ORD-1168,2024-09-03,North America,Government,Developer Tools,CodePiper CI,8,60.36,482.88,222.39
ORD-1169,2024-09-04,Latin America,Enterprise,AI Solutions,AutoVision Suite,9,240.86,2167.74,1072.12
ORD-1170,2024-09-06,Europe,Mid-Market,Cloud Storage,Cold Vault,7,105.26,736.82,216.89
ORD-1171,2024-09-07,Asia Pacific,Startup,Developer Tools,DebugPro X,7,464.38,3250.66,1781.23
ORD-1172,2024-09-09,Europe,Government,Developer Tools,ContainerStack,5,220.69,1103.45,549.19
ORD-1173,2024-09-10,North America,Mid-Market,Enterprise Software,ERP Suite Pro,10,200.07,2000.7,718.79
ORD-1174,2024-09-12,Asia Pacific,Enterprise,AI Solutions,AutoVision Suite,2,259.57,519.14,203.68
ORD-1175,2024-09-13,Latin America,Enterprise,Developer Tools,ContainerStack,11,253.6,2789.6,715.09
ORD-1176,2024-09-14,Asia Pacific,Startup,AI Solutions,AutoVision Suite,5,461.68,2308.4,796.3
ORD-1177,2024-09-16,North America,Government,Cloud Storage,S3 Glacier Sync,12,145.71,1748.52,710.02
ORD-1178,2024-09-17,North America,Government,Enterprise Software,ERP Suite Pro,4,236.58,946.32,221.57
ORD-1179,2024-09-19,Asia Pacific,Startup,Enterprise Software,HR Core,1,189.47,189.47,68.01
ORD-1180,2024-09-20,North America,Enterprise,Developer Tools,ContainerStack,14,142.31,1992.34,550.43
ORD-1181,2024-09-22,Europe,Mid-Market,Cloud Storage,Cold Vault,2,182.32,364.64,177.08
ORD-1182,2024-09-23,Latin America,Enterprise,Cloud Storage,CloudDrive Business,2,273.66,547.32,277.02
ORD-1183,2024-09-25,Europe,Startup,Developer Tools,CodePiper CI,7,475.75,3330.25,1163.34
ORD-1184,2024-09-26,Latin America,Mid-Market,Cloud Storage,S3 Glacier Sync,12,410.34,4924.08,2912.95
ORD-1185,2024-09-28,Latin America,Startup,AI Solutions,NeuralBot API,8,62.19,497.52,143.68
ORD-1186,2024-09-29,North America,Startup,AI Solutions,Copilot Studio,13,317.77,4131.01,1386.82
ORD-1187,2024-10-01,Latin America,Government,AI Solutions,NeuralBot API,12,157.18,1886.16,452.26
ORD-1188,2024-10-02,Europe,Enterprise,Cloud Storage,S3 Glacier Sync,11,483.19,5315.09,3070.87
ORD-1189,2024-10-04,Asia Pacific,Enterprise,Cloud Storage,Cold Vault,7,453.35,3173.45,651.19
ORD-1190,2024-10-05,North America,Government,AI Solutions,NeuralBot API,3,105.25,315.75,173.84
ORD-1191,2024-10-06,Europe,Startup,Cloud Storage,S3 Glacier Sync,1,417.85,417.85,140.7
ORD-1192,2024-10-08,North America,Mid-Market,Cloud Storage,Cold Vault,7,65.4,457.8,243.67
ORD-1193,2024-10-09,Latin America,Mid-Market,Developer Tools,DebugPro X,9,246.26,2216.34,704.32
ORD-1194,2024-10-11,Asia Pacific,Government,Cloud Storage,CloudDrive Business,10,304.6,3046.0,1809.77
ORD-1195,2024-10-12,Latin America,Mid-Market,Developer Tools,CodePiper CI,2,60.11,120.22,36.96
ORD-1196,2024-10-14,Europe,Government,Enterprise Software,ERP Suite Pro,7,148.11,1036.77,474.86
ORD-1197,2024-10-15,Asia Pacific,Mid-Market,Cloud Storage,S3 Glacier Sync,13,127.26,1654.38,511.08
ORD-1198,2024-10-17,North America,Enterprise,Cloud Storage,CloudDrive Business,10,309.43,3094.3,958.06
ORD-1199,2024-10-18,Europe,Enterprise,Enterprise Software,CRM Enterprise,10,374.09,3740.9,907.66
ORD-1200,2024-10-20,North America,Enterprise,AI Solutions,NeuralBot API,6,379.48,2276.88,683.73
ORD-1201,2024-10-21,Latin America,Mid-Market,Enterprise Software,HR Core,10,461.49,4614.9,1696.01
ORD-1202,2024-10-23,Asia Pacific,Enterprise,Cloud Storage,S3 Glacier Sync,2,124.83,249.66,123.63
ORD-1203,2024-10-24,Asia Pacific,Government,Developer Tools,ContainerStack,10,80.71,807.1,431.66
ORD-1204,2024-10-26,Europe,Startup,Developer Tools,CodePiper CI,11,183.7,2020.7,861.95
ORD-1205,2024-10-27,Latin America,Startup,AI Solutions,AutoVision Suite,6,379.66,2277.96,651.44
ORD-1206,2024-10-28,Asia Pacific,Enterprise,Developer Tools,ContainerStack,3,428.69,1286.07,692.63
ORD-1207,2024-10-30,North America,Government,AI Solutions,AutoVision Suite,9,396.91,3572.19,866.75
ORD-1208,2024-10-31,North America,Startup,Enterprise Software,ERP Suite Pro,9,367.22,3304.98,1451.93
ORD-1209,2024-11-02,Europe,Mid-Market,AI Solutions,Copilot Studio,2,409.74,819.48,391.61
ORD-1210,2024-11-03,North America,Enterprise,Cloud Storage,Cold Vault,5,91.21,456.05,258.55
ORD-1211,2024-11-05,Latin America,Government,Cloud Storage,CloudDrive Business,7,284.59,1992.13,467.52
ORD-1212,2024-11-06,Latin America,Mid-Market,AI Solutions,Copilot Studio,5,391.57,1957.85,958.64
ORD-1213,2024-11-08,Europe,Enterprise,Developer Tools,CodePiper CI,2,270.24,540.48,155.92
ORD-1214,2024-11-09,Europe,Enterprise,Enterprise Software,CRM Enterprise,10,314.72,3147.2,1887.51
ORD-1215,2024-11-11,North America,Startup,Cloud Storage,S3 Glacier Sync,7,65.28,456.96,218.87
ORD-1216,2024-11-12,Europe,Government,Developer Tools,DebugPro X,11,474.92,5224.12,2035.76
ORD-1217,2024-11-14,Europe,Startup,AI Solutions,Copilot Studio,2,285.1,570.2,261.05
ORD-1218,2024-11-15,North America,Startup,Developer Tools,ContainerStack,12,104.26,1251.12,288.74
ORD-1219,2024-11-17,Latin America,Enterprise,Developer Tools,DebugPro X,7,232.02,1624.14,696.71
ORD-1220,2024-11-18,Latin America,Enterprise,Developer Tools,CodePiper CI,6,193.44,1160.64,522.7
ORD-1221,2024-11-19,Europe,Startup,Cloud Storage,S3 Glacier Sync,2,60.98,121.96,66.84
ORD-1222,2024-11-21,Asia Pacific,Startup,AI Solutions,NeuralBot API,13,222.78,2896.14,1659.59
ORD-1223,2024-11-22,Latin America,Enterprise,Cloud Storage,CloudDrive Business,14,89.84,1257.76,270.47
ORD-1224,2024-11-24,Asia Pacific,Government,Developer Tools,ContainerStack,9,395.72,3561.48,1307.44
ORD-1225,2024-11-25,Latin America,Mid-Market,Enterprise Software,ERP Suite Pro,14,51.51,721.14,279.03
ORD-1226,2024-11-27,North America,Mid-Market,Cloud Storage,S3 Glacier Sync,14,315.1,4411.4,1371.53
ORD-1227,2024-11-28,Asia Pacific,Mid-Market,AI Solutions,NeuralBot API,1,226.23,226.23,56.51
ORD-1228,2024-11-30,Latin America,Startup,Enterprise Software,ERP Suite Pro,5,90.23,451.15,165.59
ORD-1229,2024-12-01,Latin America,Government,Cloud Storage,Cold Vault,14,326.04,4564.56,1217.89
ORD-1230,2024-12-03,Europe,Startup,AI Solutions,NeuralBot API,6,323.48,1940.88,786.2
ORD-1231,2024-12-04,Latin America,Mid-Market,Cloud Storage,CloudDrive Business,10,66.53,665.3,387.81
ORD-1232,2024-12-06,Asia Pacific,Government,Enterprise Software,ERP Suite Pro,6,486.1,2916.6,1614.38
ORD-1233,2024-12-07,Europe,Mid-Market,Cloud Storage,CloudDrive Business,13,167.11,2172.43,882.22
ORD-1234,2024-12-09,Asia Pacific,Enterprise,Enterprise Software,HR Core,3,151.0,453.0,131.16
ORD-1235,2024-12-10,Asia Pacific,Startup,Enterprise Software,CRM Enterprise,5,91.17,455.85,251.17
ORD-1236,2024-12-11,Europe,Enterprise,Developer Tools,CodePiper CI,9,69.97,629.73,340.61
ORD-1237,2024-12-13,Latin America,Startup,AI Solutions,NeuralBot API,5,380.85,1904.25,595.19
ORD-1238,2024-12-14,North America,Government,Cloud Storage,Cold Vault,5,71.95,359.75,148.59
ORD-1239,2024-12-16,Latin America,Enterprise,Developer Tools,CodePiper CI,12,84.26,1011.12,546.49
ORD-1240,2024-12-17,Latin America,Mid-Market,Developer Tools,DebugPro X,13,457.93,5953.09,2551.06
ORD-1241,2024-12-19,Asia Pacific,Government,Developer Tools,ContainerStack,13,170.16,2212.08,1219.86
ORD-1242,2024-12-20,Asia Pacific,Enterprise,Developer Tools,CodePiper CI,11,440.28,4843.08,2340.88
ORD-1243,2024-12-22,Latin America,Startup,Enterprise Software,ERP Suite Pro,10,97.63,976.3,468.23
ORD-1244,2024-12-23,Asia Pacific,Mid-Market,Enterprise Software,HR Core,13,442.33,5750.29,1217.33
ORD-1245,2024-12-25,Latin America,Mid-Market,Cloud Storage,Cold Vault,5,384.58,1922.9,508.23
ORD-1246,2024-12-26,North America,Mid-Market,Cloud Storage,CloudDrive Business,13,166.41,2163.33,599.79
ORD-1247,2024-12-28,Latin America,Government,AI Solutions,NeuralBot API,9,334.32,3008.88,914.46
ORD-1248,2024-12-29,Asia Pacific,Mid-Market,Developer Tools,CodePiper CI,3,107.8,323.4,101.33
ORD-1249,2024-12-31,North America,Mid-Market,Enterprise Software,CRM Enterprise,12,334.68,4016.16,2300.5
